ID,Topic,Sentiment
2170,"đứng nhất tại trừ phí nhiều chứ khỉ gì . mới lãnh lương xong là trừ , không đki dịch vụ gì hết mà tháng nào cũng trừ , tới lúc cần giải quyết ra đợi cả buổi , rồi lại hẹn cả tuần .",Negative
2171,làm phục vụ xong 4 tháng đi hà nội 1 lần chỉ để gặp người yêu xong giờ thì mới biết là nó cắm nguyên cây sừng lên đầu mình,Negative
2172,thế con lồn chủ nhiệm kia đéo có trách nhiệm gì nữa à :/ giáo viên mà sao nghĩ ngắn thế ?,Negative
2173,trong khi đó lũ con trai lớp tao mỗi lần cắt tóc xong là một vở kịch mới được mở màn :vv,Positive
2174,"chúg mày cứ bảo nhắn thêm , tao thấy mày nhắn chữ dạ vâng là đã thấy đáng yêu rồi :)))",Positive
2175,con đũy ngổng ngáo,Negative
2176,add xem ảnh ngoài đời chưa mà nói dume,Negative
2177,có người sinh ra đã giàu có người làm cực khổ cũng không thể giàu . thương ông,Negative
2178,cho hỏi ngu tí là tiền bồi thươ ̀ người mấy vụ án oan lấy ra từ đâu vậy ??,Neutral
2179,tên thì tất nhiên nhớ nhưng ngày sinh của tao thì ông bà bô nhà tao không một ai nhớ cả ^^,Negative
2180,câu chuyện vui ha =]],Positive
2181,sao em này lại xinh vậy ?,Neutral
2182,đáng yêu mà sợ gì,Positive
2183,không hiểu lắm,Neutral
2184,"tao chả thấy cười ở cái đoạn buồi nào cả , sắp đến đoạn hay tí lại ngắt cmnl",Negative
2185,chúc trump chuyến bay thật may mắn nhớ tới thăm hà nội nhé xin chào,Positive
2186,"gặp tao , tao ré cái hoảng mất :(( đáng sợ qué",Negative
2187,có đứa nào giống tao vào đọc bình luận để biết cái này là cái gì không .?,Neutral
2188,"này hai đứa , đã đi niềng răng chưa , chưa thì đi niềng đi rồi quay lại nhé nhởn ra cười như hai đứa thần kinh nhé",Negative
2189,"sai nhé ! không phải trầm cảm đâu . thứ đó , kinh khủng hơn rất nhiều",Neutral
2190,lò bếp dầu một thời nè gì per,Neutral
2191,khi nhỏ còn bị nghiện mùi khói này nữa chớ . 😄,Positive
2192,lâu lắm rồi mới nghe lại bài này 😀,Positive
2193,phim này xem rồi ý nghĩa vài,Positive
2194,khi đang xây cầu mà bị rút bớt kinh phí !,Neutral
2195,ít nhất con nhện nó còn yêu mày 🙂🙂🙂,Positive
2196,tao bẻ cổ mày luôn ấy,Negative
2197,"đm 3 tiếng đi được 20m , đéo biết bao giờ mới về đến nhà",Negative
2198,dell hiểu phí cái con cặc gì =))) cái tỷ lệ mặt này .,Negative
2199,mày chặt một tay đi cho dễ nhớ,Neutral
2200,khoảng gần chục năm về trước thì còn vàng trắng .... giờ thì bán còn không đủ không đủ để trả công nữa là,Negative
2201,1 chút vị cay pha thêm 1 chút vị đắng nhưng đôi khi cũng có chút ngọt ngào,Neutral
2202,tình yêu là lời nói dối của 1 thằng khùng được tin bởi 1 con ngu 🤣🤣,Negative
2203,má 2 thằng áo vàng lầy ghê 😂,Neutral
2204,bộ phim truyền cảm hứng hay nhất =),Positive
2205,cái kết có hậu quá :)),Positive
2206,mặt hài vãi chưởng =)))),Positive
2207,câu chuyện thật cục súc :),Negative
2208,"em sẽ mãi không biết có lúc tôi gọi chỉ để nghe câu "" ai vậy ?""",Negative
2209,per kinh nghiệm nha,Positive
2210,bếp dầu lại nhớ thời sinh viên,Neutral
2211,"các bạn đừng dạy người giàu đặc biệt ( đàn ông ) cách khoan dung và của chồng công vợ . qua bao nhiêu bài tìm hiểu . chị vợ rất thâm !!! tuy mình là phụ nữ , nhưng đọc qua nhiều bài mới nể phục anh vũ . và cảm thấy sự khinh bỉ đâu đó dành cho c thảo , dù c tài năng đến đâu nhưng c tham thì thâm mọi người sẽ không bao giờ ủng hộ c .",Negative
2212,người ta thật thà phết,Positive
2213,chàng trai vàng trong làng bấm biển =))),Positive
2214,sao không thây lên báo nhỉ,Neutral
2215,lần sau mua mấy con vít gỗ 2cm lém gần bánh :)) lần sau sợ ngay :)),Neutral
2216,ai sẽ chở tớ đi đâyy,Neutral
2217,không may thụt chân xuống thì sẽ như thế nào nhỉ chắc là thốn đến tận rốn,Negative
2218,nhìn ông với bà chất hơn thanh niên bây giờ,Positive
2219,per đồng nghiệp tốt giúp ta dễ vào nhà thương điên kkkk,Positive
2220,"thứ hãm lol , trêu vô duyên vãi , xấu mặt dân tao",Negative
2221,per vẽ đẹp cũng có thú vui của nó mày :)),Positive
2222,"ngày xưa nuôi mấy con mèo . đêm hôm nó cứ lựa lúc cửa mở là chạy đi chơi mất . những lần nó không về buồn thối ruột , tối cứ mở cửa để đợi tiếng meo meo 😥",Negative
2223,xem cả chục lần vẫn thấy hạnh phúc lây với cụ bà 😊 không biết mai sau mình có được vậy không,Positive
2224,phim này rất hay . tình cảm nhẹ nhàng . toàn zai đẹp . hehe,Positive
2225,per thế mà cháu tôi không biết chơi 😭😭,Negative
2226,là nhân duyên trời ban cớ sao chẳng thành đôi :(,Negative
2227,per c . bị tinh thần đi xem đi 👻,Positive
2228,đáng yêuc quad 🤤🤤🤤,Positive
2229,thu nhập bình quân chứ không phải thu nhập của nhân viên nào cũng thế 😏,Neutral
2230,tốt nhất là không nên mang điện thoại theo người,Neutral
2231,dume sởn gai ốc 😭,Negative
2232,"chả lẽ không không cô bắt học sinh quỳ như thế à ... bây giờ vài bọn “ học giả ” cứ rả rích là thầy cô không giáo dục học trò chỉ đăm đăm vào dạy , lúc thầy cô “ dạy ” thì lại rôm rả về đạo đức nghề giáo ... ôi thôi ... đủ các thể loại",Negative
2233,"đẹp quá mày , còn không cho tao xin ít",Positive
2234,mày nghĩ mày cản được tao à ? :)),Neutral
2235,thế là dấu ấn lịch sử và hình tượng thằng gù nhà thờ đức bà của nước pháp đã thành tàn tro :(,Negative
2236,mày cứ đái ra võng là lần sau vợ mày sẽ rút kinh nghiệm,Negative
2237,dkm bọn này thất đức thật,Negative
2238,add cứ khoe đi . mai lại chặt hết như nguyễn trãi mà 😂😂😂,Positive
2239,cảm giác lúc đấy mình quá đáng vãi ra,Negative
2240,nghe quả tên nó đã khét vãi rồi . :))),Positive
2241,mình cũng có con mèo đực nuôi được 1 năm thì nó biệt tích 1 năm sau nó về rồi 1 năm sau thì nó mất .... buồn,Negative
2242,per cứ chuẩn bị tiền đi hú là tôi đi,Neutral
2243,ui mấy ông tướng men nì từ bé luôn nhỉ . đáng yêuc chết được 🥰🥰🥰,Neutral
2244,quá đáng !,Negative
2245,cái này thì ai chả đau lòng trời,Negative
2246,hay lắm,Positive
2247,thế này lại thành xây nhà cho nhà hàng xóm rồi 😰,Negative
2248,"nhiều nước quá , lấy bát về múc nước ra thêm tí đường vào là có 1 bát nước gạo ngon lành",Positive
2249,"phải nói thằng lái xe đỗ quá thể , sau vụ này chắc sẽ khôn ra nhiều",Negative
2250,"xem tới xem lui không biết bao nhiêu lần , nhưng đều có cùng cảm xúc mỗi lần xem lại . một bộ phim tuyệt vời 👍",Positive
2251,"tàn nhẫn thế nào , là khi mình trao họ hết hy vọng rồi họ lại dập tắt đi nó",Negative
2252,có tiến bộ ! kkk,Positive
2253,chờ một ngày tao ưu tú rồi mọi thứ sẽ tự tìm đến với ta,Neutral
2254,t định thả sad nhưng đọc bình luận buồn cười vailon 😂 nên thả hahaa :v,Positive
2255,quá nguy hiểm . chúng nó có thể đang đùa cợt với mày đấy,Neutral
2256,"người ta đi trước cả ý nghĩ của ông rồi đừng dậy người ta , phải tự hào chứ",Negative
2257,buồn thế nhỉ . t mới mua con per chưa nổi 1 năm . thế này thì biết sống sao 😨😨,Negative
2258,phải thế mới hết thối được,Neutral
2259,thấy cái thèm ts quá,Positive
2260,nếu diễn viên chính trẻ hơn đẹp hơn đang yêuc hơn thì mình sẽ xem haizz,Neutral
2261,dm cưng vlll =))),Positive
2262,"quan trọng là lòng tin , bạn bè mình một số người mình đã mất lòng tin thì đừng bao giờ nói chuyện tiền nong . khâm phục anh",Positive
2263,dm . đồ dạo này lắm tạp chất hay s í nó đéo phê nhg mà vẫn bị ngáo,Negative
2264,chỉ khổ thân bọn trẻ thôi đau sót lắm,Negative
2265,chứ sao mày không ngủ mà kêu tao ngủ,Neutral
2266,mấy con bò nó nhột nó lại cắn cho giờ,Neutral
2267,tao sẽ chỉ tự an ủi là đấy chỉ có trong phim truỵên ngôn tình :),Negative
2268,dume sự nghiệp vứt đi đâu,Neutral
2269,t mà bị như này thì chắc tao chết luôn c ạ 😂😂 per,Negative
2270,lại cái trò đéo cho đỗ ???,Negative
2271,"hăm hở đón nhận tất cả , thậm chí là nỗi buồn , nếu điều ấy khiến việc tồn tại của bạn mang một hương vị đáng nhớ ...",Negative
2272,đôi mắt to quá,Neutral
2273,buồn dễ sợ mà huhu,Negative
2274,thú vị vậy =)),Positive
2275,giống tao thế nhỉ ! 😑😑,Neutral
2276,nói chuyện như người yêu ??,Positive
2277,toàn bọn lùn haizz,Negative
2278,"per mày nhìn thành long hồi này có thấy giống mặt anh chung nhung hồi xưa không :))))). thề luôn , tao thấy giống vãi 🤣",Positive
2279,thôi chết . thế thì tao đứt dây thần kinh gây cười rồi,Neutral
2280,tao lại lấy mỡ đè chết mày bây giờ,Negative
2281,"rất thích g7 hồi từ 2012 trở lại , có lẽ sẽ uống lại trung nguyên :)",Positive
2282,chuỗi ngày tủi nhục cũng từ đó mà bắt đầu,Negative
2283,per hihi nhớ không,Positive
2284,con cháu thằng nào ra đường mà không dạy thế,Negative
2285,chắc là không sợ chó ha,Neutral
2286,tks admin ... tôi muốn tìm phim này lâu rồi mà không nhớ tên phim ... tks admin nhiều,Positive
2287,thính hơn chó động 1 tí là kêu inh ỏi điếc cả tai . đuổi thì đuổi dai 😒,Negative
2288,lạy chúa con còn lứa tuổi học sinh,Neutral
2289,đó là 1 câu chuyện buồn 😤,Negative
2290,"nhìn cảnh này mình nhớ lại cảnh ông ngoại mình đứng ngay quan tài bà ngoại khóc nức nở . bà đi rồi để ông ở lại một mình , đau lòng quá",Negative
2291,"bánh tráng trộn năm đó ở roai ờ ti , ruột đau như cắt nói chuyện mắt đầm đìa đền thg dưa gang cốc dưa hấu kem chi per",Negative
2292,bây thấy nó vô lý vãi lol không ?,Negative
2293,chuẩn con mẹ nó cơm oy 😂😂😂,Positive
2294,ngày xưa mẹ tao dạy ở miền núi . năm tao học lớp 3 lần đầu tiên lên trường với mẹ . đaumoa mấy con ngỗng mất dạy rượt tao leo lên cây phượng cao chót vót cả tiếng không dám xuống .,Negative
2295,đúng rồi . tất cả chỉ là lừa dối thôi . nhớ nhé ..,Negative
2296,mày chuẩn bị ra rìa rồi con,Neutral
2297,"chứ tao mà viết đến giờ chắc dày lắm , nhiều đứa bị lôi vào sổ ghi nợ lắm :d",Neutral
2298,xem 1 lần rồi thôi !!,Neutral
2299,cắt tóc xong rùi gội đầu xong tóc còn ướt ý nhìn đẹp trai lắm luôn ý,Positive
2300,"sau 1 thời còm men dạo khắp muôn nơi , cháu đã lên được fan cứng rất rất cứng 😆😆",Positive
2301,ông lại tự phức tạp hóa vấn đề lên thôi :v,Neutral
2302,"mất 1 phút để say mê một người , một giờ để thích một người và một ngày để yêu một người nhưng có thể lại mất một đời để quên đi hình bóng ấy . đấy là câu xạo lol trong ngôn tình thôi chứ tin thế đéo nào được",Negative
2303,hạnh phúc . mà hạnh phúc của đàn ông thì khó nói lắm . kaka,Positive
2304,tripod dựng cao lên để chụp thì thần kinh chỗ nào :) dume ghép video đếu xem mà chèn tiêu đề như con cặc ấy,Negative
2305,thấy ớn,Negative
2306,mấy bọn thả chó không rọ mõm gây hại cho người khác phải bị chó cắn mới thích đáng per,Negative
2307,"đó là do bạn ngu , đéo biết chọn chỗ viết",Negative
2308,"giờ đây chúng ta , những con người của ngày ấy giờ không còn nữa ... những lời nói về mai sau nhưng ta đâu ngờ sau này chúng ta càng trở lên xa lạ",Negative
2309,ngại gì thế vừa nhanh vừa tiện,Neutral
2310,nhà anh có cơ to nhưng óc anh bằng quả nho !!,Negative
2311,bếp dầu vặn tim rồi chăm lửa nó mới cháy nha chỉ cho mấy đứa không bit sài,Neutral
2312,không biết thật mà hix .,Negative
2313,về nhà thể hiển nhé chú em,Negative
2314,"per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ , ngọt vãi",Positive
2315,lỗi là do phụ huynh . nên đừng gây áp lực cho mấy em trẻ,Negative
2316,"sai rõ rồi , bếp công cộng nào cũng phải có lưu mẫu chứ . nếu không lưu thì lại vi phạm thì xử cái đó",Negative
2317,"đang lười quá nè , làm sao để bớt lười",Neutral
2318,đẹp quá 😆 vi diệu,Neutral
2319,"đến lúc yêu nhạt cực :) tao thề ! kiểu chán chán , muốn quay về đơn phương hơn",Negative
2320,ngiu tao cắt tóc xong nhìn như cặc . phải để tầm nữa tháng sau nhìn mới nung trở lại,Negative
2321,có lẽ chỉ là con tốt thí thân cho cả bầy bụng phệ phía sau,Negative
2322,nghèo mà đi tập huấn sang chảnh ??,Negative
2323,tao toàn bạn gái mà sao vẫn tưng tửng nhể ???,Negative
2324,vậy cứ mở mồm chó ra đổ thừa trung quốc . toàn mình giết mình,Negative
2325,"cấm đỗ thì gọi phường hay thanh tra giao thông xuống cẩu đi , chứ đường nhà chủ thớt bỏ tiền mua chắc ??????",Negative
2326,"cái dòng ế mà dễ dãi , hứ tao khinh",Negative
2327,xem lâu rồi giờ xem lại vẫn buồn cười,Positive
2328,"còn giữ 2 cái đĩa cổ này luôn á , ghê hông",Positive
2329,quen với quên rồi thì hết đau thôi mà,Negative
2330,anh này còn phim pk nữa rất hay và ý nghĩa,Positive
2331,"cả phim trừ anh dv chính ra thì thấy anh này là đáng yêu nhất , dù nhìn hơi hâm hâm tý",Positive
2332,mua mà không được phát tán virut bán ra chợ đen thì mua để mà tế ah .,Negative
2333,cẩn thận quá cô ơi,Neutral
2334,muốn nhanh thì phải từ từ =))))),Positive
2335,nhìn phiêu thật chắc nhẹ mất mấy cân một bên tai 😂😂😂,Neutral
2336,đang có phong trào tế trượt chân bể bình hả,Neutral
2337,có khi nào là chủ tịch giả vờ không ?,Neutral
2338,một giây rung động con tim :))))),Positive
2339,này làm mình liên tưởng tới hoá,Neutral
2340,"thích hôn , thèm hôn ư ư ...",Positive
2341,"nhớ lúc nhỏ tao và nó mỗi đứa 1 đường đi không ai đá động gì đến nó mà dume tao đang đi nó chạy sang đá cho tao mấy phát , dume đúng là đồ hoạ mi điên ... 🌚🌚 thứ độg vật không thể nào yêu thương nổi ...",Negative
2342,"nhìn mặt đã thấy tởm , lũ thầy cô trong trường biết còn trêu chọc các em . rặt một lũ cặn bã , súc sinh .",Negative
2343,"tự nhiên chơi với con trai cái bị kêu không đàng quàng , con gái gì kỳ vậy , lại còn nhiều bồ , đi với ai cũng nghĩ là bồ . mệt thiệt chứ",Negative
2344,tao ho rụng hết tóc rồi 😭,Negative
2345,tưởng đàng hoàng cho chơi chung ai dè bạn xấu,Negative
2346,per bit cái nay không . hihi,Positive
2347,vừa lên dốc thấy crush cười =)),Positive
2348,kiếp trước sống lỗi quá nên kiếp này nghiệp quật :((,Negative
2349,kkk tao chọn anh đầu tiên,Positive
2350,lol :) dume nhảm nhí,Negative
2351,thằng hack game nó gặp trùm cuối rồi 😭😭 truyện đến đây là kết thúc sao 😭,Negative
2352,lúc đầu tao còn tưởng thật ấy chứ,Neutral
2353,rất chi là chờ đợi 🙄,Neutral
2354,chị em mình giờ nói ít thôi haha,Positive
2355,per rồi sẽ có 1 ngày vừa cười tao vừa kể chuyện khiến tao rơi nước mắt,Negative
2356,ăn vào lại thức dậy ở một nơi xa thì bỏ mẹ :)),Negative
2357,em ấy đang ở đâu ạ,Neutral
2358,gọi gọi người ra cái lờ ! gặp bố đập mày lun cho rảnh lol nhá,Negative
2359,"giả bộ vô tình gặp nhìn lén rồi đi , lại còn tìm hiểu cả gia phả người ta nữa chứ ... một thời ngu ngốc đáng yêu .",Positive
2360,nghe lần 3 đéo thấy hay,Negative
2361,ủa sao biết ??,Neutral
2362,dume cà rốt bố đéo thèm nhé !,Negative
2363,nhạt hơn tao,Negative
2364,tao hiểu cảm giác đó,Neutral
2365,anh thật máu lửa 🤣🤣🤣,Neutral
2366,"per vì ss thích coi nặn mụn , c cũng ráng coi hết và cái kết có hậu 😂😂",Positive
2367,bọn fa sẽ nói tao lấy ảnh mạng cho mà xem,Negative
2368,bắt võng nằm cho sướng,Positive
2369,đúng là khổ trước sướng sau thế mới giàu =))),Positive
2370,nói thiệt là 10 người thanh hoá hết 9 người chả ra gì ...,Negative
2371,đó là tìm đúng người còn sai người thì auto mối quan hệ kết thúc :)),Positive
2372,bọn công ty nào vậy mọi người cùng nhau lên xiên cho bọn nó mỗi đứa vài phát,Negative
2373,"có thể là ngày mai , tháng sau , cuối năm , sang năm hoặc 30 tuổi :))) khi nào có tình yêu .",Neutral
2374,dume mấy con nhãi danh . 😒,Negative
2375,mình còn chưa được nắm tay,Negative
2376,boss dễ thương vãi lúa,Positive
2377,"nhà nuôi 1 cặp ngỗng kêu thì ôi thôi điếc tai luôn . chạy xe thì cứ canh ngay đầu xe mà nhào ra mổ , dí hơn cả chó nữa",Neutral
2378,mặt thằng mèo khó ở vãi,Negative
2379,hỏng xe và phải đền tầu hỏa . có thể phải đi tù nếu gây hậu quả nghiêm trọng . đầu đất là có thật . 😔😔😔😔,Negative
2380,2 năm rồi và đã kết thúc rồi,Negative
2381,ngáo cỏ này đáng yêu nhỉ,Positive
2382,ấm áp vãi .,Positive
2383,per được đi thi chưa babe 😂,Positive
2384,mấy vụ giết người chặt xác gần đây ở việt nam toàn là người hiền lành 🤔🤔🤔,Neutral
2385,"cảm ơn các em , tuổi học sinh lắm nghịch ngợm nhưng có lòng yêu thương con vật nhỏ bé đã giúp bé cún được sống 😘😘",Positive
2386,dume cười muốn chết người ta ~~,Positive
2387,ngày xưa có 1 cái,Positive
2388,dm đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy ????,Negative
2389,"kaka bạn này best bán hành luôn kaka . bó tay . miệng nói một đường , não nghỉ một lối",Negative
2390,"đm buồn cười đéo chịu được , đặc vụ nằm vùng đi xe đạp thì đuổi sao kịp mấy th lol đi xe máy 🙄",Positive
2391,"con sâu làm rầu nồi canh , tuyệt đối không có chuyện ....",Negative
2392,đứng trụ điện mới lạ chứ,Neutral
2393,bọn tiếp tay cho kẻ giết người,Negative
2394,"cho phải công bằng , nếu không anh chị em không hoà thuận ...",Neutral
2395,rồi rủi gặp phải thằng người yêu con kia cục súc nó lại xiên cả đám :),Neutral
2396,cái này mình thấy ở ngoài đường người ta diễn nhiều lắm . nay chỗ này mai chỗ khác à . nhìn thấy riết rồi cũng nhạt cái mặt ra,Negative
2397,đi mà ngửi nách nhau à ? mua được cái cây về đến nhà còn trơ cọng,Negative
2398,quá ẩu vay mà bỏ tù người ta tân 7nam giờ đền 200tr . quá tội cho chị ấy còn những thằng kia thi quá tồi ...,Negative
2399,ngu . vào quán uống nước lúc nào thích đi thì gọi bạn mang mũ bảo hiểm tới,Negative
2400,"đều do lòng tham và sự ngu dốt của cá nhân gây ra , ngu cũng ngu vừa thôi .",Negative
2401,đùa chứ cái tầm nghịch ngu này cho vào trại giáo dưỡng mấy tháng cũng được,Negative
2402,cần lắm những nhà tuyển dụng như vầy :)))),Positive
2403,crush mới thích ảnh tao mà tao đã . nghĩ đến chuyện đặt tên con rồi,Positive
2404,vl đánh đòn hic :))))),Negative
2405,"tui đây vừa vô phòng thì con vợ mặt trắng bóc nhảy ra đây , tưởng là ma",Negative
2406,nhìn vậy nhớ ông ngoại quá 😞,Negative
2407,:) cảm giác đó đau lắm các mày ạ,Negative
2408,"đang coi thấy nghi nghi , tắt vô xem bình luận , đoán ngay là sẽ giật mình , nên thôi không xem nữa haha , dễ gì bị dụ haha",Positive
2409,ủa rồi mắc gì phí cả 1 đời 🙂,Neutral
2410,"ủa chứ bộ mày bán phá giá thì thị trường để yên cho mày à :v , mua tận gốc mà còn đòi giảm , ủa chứ giảm sao ? ủa chứ mày ngu mày bán đúng giá chứ mày đòi tao giảm tao phá sản nghỉ làm à :v",Negative
2411,nhìn cái ngành giáo dục việt nam bây giờ ai cũng mệt mỏi,Negative
2412,cưng tởm,Negative
2413,mẹ đang buồn ỉa mà trên đường về gặp mớ gờ giảm tốc kia thì phọt bà ra quần 😨,Negative
2414,người gì đâu mà đẹp trai hết sức !,Positive
2415,khá trẩu =))),Negative
2416,đéo hiểu sao mấy thằng khốn nạn thì lại nhiều đứa yêu . anh em ngoan hiền đâu điểm danh,Negative
2417,"hết hôi nhưng cống vẫn xả xuống sông thì nó lại thành "" hòa vốn "" 🤔🤔",Neutral
2418,"lũ âm binh khí đụ này phải truy gấp , tao tính đi bơi mà bọn bây làm vậy mất mặt đàn ông chân chính bơi vì đam mê như tao quá 😡",Negative
2419,2 câu giống nhau,Neutral
2420,chổ mình là miền núi nên là không nấu bằng rơm nhé,Neutral
2421,tao nghi chị xác chết với chị bác sĩ pháp y đó yêu nhau quá chúng mày :)),Neutral
2422,đau ruột với thằng số 9 🤣🤣🤣,Positive
2423,đang đi ỉa tự nhiên xem phim này cái cười ỉa ra cứt luôn :)),Positive
2424,cái máy không có lỗi lỗi ở mấy lão kỹ sư trắc địa,Negative
2425,sau này nó lớn lên làm kinh doanh thứ gì đó thì lúc đó nó mới biết thế nào là quả báo,Negative
2426,cưng quá hà,Positive
2427,fan của nhà thờ đức bà paris vào cảm thông cái per,Neutral
2428,phim cực hay và cực cảm động lòng người,Positive
2429,hàng nhà tao cắt tóc xong thì tao cười như con điên từ sáng đến tối =)))),Positive
2430,"chúng mày nhìn , tao nuốt cũng không xuống nổi , ông địa",Negative
2431,hoan hô anh 😂😄,Positive
2432,lấy ghế ra ngồi thật tuyệt,Positive
2433,per phim nào cũ thì người cũng hay hêt ́ tao anh ơi,Positive
2434,dù 22 tuổi nhưng bố giàu là được,Neutral
2435,"ước gì mày được quay về tuổi thơ , trước mày cũng có 1 b trai như vậy đó",Negative
2436,làm kiểu không cần bẻ phê hơn =))),Positive
2437,khó tính chảnh chó như mèo 🙄,Negative
2438,chủ tịch giả vờ nấu kiểu này và cái kết cháy trụi làng,Neutral
2439,per nhớ thật sự,Neutral
2440,"đấy , nó đấy . con tim tao đau quá .",Negative
2441,ngày xưa hồi còn học mẫu giáo mỗi lần đi qua là nó rượt tao chạy té khói dume còn thiếu nước chạy lại quỳ xuống van xin nó nữa thôi . đến giờ nó vẫn là nỗi ám ảnh với tao :)),Negative
2442,chính xác là con gái xinh auto đáng yêu =)))),Positive
2443,vớ vẩn thặc ! marketing cũng có dăm bảy loại và tùy lĩnh vực . dăm ba cái này đăng mà không đọc à,Negative
2444,"kết nhất cái điệu "" xời quá là điều bình thường luôn """,Positive
2445,chàng trai mạnh mẽ !,Positive
2446,thấy hơi sợ sợ rồi đấy :(,Negative
2447,như con đười ươi :)))))),Positive
2448,per thần thái còn phải thua haha,Positive
2449,chuẩn bị cho chim ăn cức,Neutral
2450,"có chỗ tự đào thải nhưng có chỗ có đào cũng không thải , vì "" cơ chế "" đồng tiền có lỗ xỏ . khó nói lắm",Negative
2451,đang thất tình mà dume cứ bắt đi bán xoài @@,Negative
2452,đm y chang mẹ tao chửi tao luôn :),Neutral
2453,trông ô uế vãi,Negative
2454,đúng rất nguy hiểm ! đằng sau 1 thằng đàn ông đôi khi là cả một tủ váy,Negative
2455,dm đang yên đang lành tự dưng bị nhét cẩu lương 😡😡,Negative
2456,phản cảm,Negative
2457,"ba mẹ mình nhớ tất cả ngày tháng năm sinh âm lịch , giờ sinh , tên tuổi ...... của 4 chị em .....",Positive
2458,bị tát lần đầu có thể sẽ hơi sốc một chút nhưng bị nhiều lần rồi sẽ quen ngay ấy mà 😂,Positive
2459,ghê thật,Negative
2460,không biết đến 2021 tao có lấy được chồng không nữa :((,Negative
2461,"kỳ nghỉ hè muộn của anh mà , xõa hết đi anh .",Positive
2462,nhỏ không học lớn lên làm nhà báo,Neutral
2463,2 - 3 tuần gì đấy . sao thế,Neutral
2464,per đu ̣ me ̣ như 1 tro ̀ đu ̀ anh =))))) đi gia ̉ mày tô ́ c co ̀ n nhiê ̀ u hơn khu nha ̀ ông,Negative
2465,dở hơi,Negative
2466,cũng chỉ là ít protein dạng sợi thôi béo tốt gì mà gìn giữ 66 năm 😑 xã hội giờ là vậy . khi bạn không có tài năng nhưng bạn muốn tạo sự quan tâm của xã hội thì phải ..... 🙃🙃🙃,Negative
2467,"đó là những cô gái cần được bảo tồn , vì biết lo nghĩ đến thứ anh ta đang nghĩ",Neutral
2468,đó là mày chưa nhận ra việc mày yêu tiền như thế nào và muốn kiếm tiền nhiều bao nhiêu ?,Neutral
2469,tại thợ hàn bất cẩn chăng ...,Neutral
2470,đúng là không có nhân tính,Negative
2471,"học xong cấp 3 , ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào :))))))",Positive
2472,hoá ra chúng ta không biết nhiều về tình yêu như ta vẫn nghĩ 😢,Negative
2473,lòng đường không phải nhà cụ nên cụ sai nhé . vỉa hè to vậy rồi cụ còn muốn như thế nào,Negative
2474,thiệt hả cái ???,Neutral
2475,per mi phải học con nay bán hàng lai chim mới chạy hàng này,Positive
2476,"ước mơ của tao , thích vẽ lắm luôn , nhưng mỗi tội vẽ xong cho lên màu thì lại tệ 🙄",Negative
2477,dăm ba cái trò nấu cơm này sao làm khó tao .,Positive
2478,em chân thành nên em tổn thương,Negative
2479,bộ phim này hay từng đoạt giải oscar có lẽ là bộ hay nhất của ấn độ,Positive
2480,ủa ? chọn người nào cũng như nhau thôi . vì cả 2 người chắc đéo gì đã thích bạn đâu ? :)),Neutral
2481,đcm . mấy hôm này đi đâu cungz thấy chủ tịch . đéo ngán à ?,Negative
2482,hồi đó cấp 2 mà bán đồ lời mấy chục là mừng quýnh lên rồi =))),Positive
2483,và sau đó mẹ mày đánh thức mày dậy 😌,Neutral
2484,per đưa anh nè không cần năn nỉ . chỉ cần em cởi hết đồ ra thôi . đúng không,Positive
2485,bà này hên vãi . bữa bên gò vấp cũng v . nhỏ kia nói chuyện rất đàng hoàng bà này thấy v làm tới mà lỗi sai rành rành . xui đâu có vài bà đi đường nghe không lọt tai hay sao vả cho mấy phát . hả dạ !,Negative
2486,dm gớm chó thiệt chứ,Negative
2487,nhớ lại thời đi học xa nhà . bếp dầu ... :(,Negative
2488,trời ơi . giết hết lũ xúc sinh liên quan đi . lũ giết người hàng loạt . yêu cầu thủ tướng đứng ra chỉ đạo vụ việc này cho dân . diệt tận gốc nhổ tận rể lũ súc vật này .😡😡😡😡,Negative
2489,sẽ gây sự chú ý . cố tình xuất hiện trước mặt nhưng giả vờ như không quan tâm 😚,Neutral
2490,nản kèo vãi,Negative
2491,"vẫn là thụ động , làm sao phải chặn đứng hiện tượng rải đinh .",Neutral
2492,"per xuống cấp những vật liệu dễ bị cháy , chắc có thể do chập điện hoặc nguyên nhân gì đó khiến ngọn lửa bắt lên nhanh cộng với gió lớn .",Neutral
2493,để được maiz ngắm nhìn nụ cười đó nên quyết định chỉ crush mà thôi :3,Positive
2494,thế là .... nổi tiếng sao ?,Neutral
2495,hình phạt đó quá nhẹ không có sức dặn đe kẻ khác,Negative
2496,dume nghe kể mà đau cổ họng vãi :),Negative
2497,khiếp ăn tạp chẳng chết,Negative
2498,một cái tết nhiều tiền,Positive
2499,phim này thật ra hay nhưng không có tính thực tế . không hay bằng truyện .,Negative
2500,sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nge,Negative
2501,"giáo viên tiếng anh ở cấp thcs cực kì chán , phát âm sai bét , giao tiếp tiếng anh thì cứ ừ à .",Neutral
